platform,Rank,Name,Price,Chg 24H,Chg 7D,Market Cap,Vol (24h),IDO ROI USD,ATH IDO ROI USD,IDO Date,Raised,seedify,seedify,red kite,red kite,bscpad,bscpad,paid,paid,polka,polka,tpad,tpad,dao maker,dao maker,btc price,btc price,,,,init mcap,init FDMC,launchpad,symbol
PKF,,Kingdom KarnageKKT,$0.01,N/A,-28.20%,$ 196.57K,$684.46,0.77,2.71,11 Jan,"$100,000",,,0.77,2.71,,,,,,,,,,,,,,,Kingdom KarnageKKT,,,PKF
PKF,,SwaperryPERRY,$0.01,0.0196,-7.91%,$ 247.43K,$ 1.14K,0.24,2.69,26 Aug 2021,"$100,000",,,0.24,2.69,,,,,,,,,,,,,,,SwaperryPERRY,,,PKF
PKF,1703,Legends of MitraMITA,$0.09,-27.10%,N/A,$ 1.26M,$ 474.29K,1.46,2.46,8 Jan,"$95,000",,,1.46,2.46,,,,,,,,,,,,,,,Legends of MitraMITA,,,PKF
PKF,,PicipoPICIPO,$0.02,0.0481,-21.60%,$ 52.07K,$ 1.12K,0.22,2.15,2 Oct 2021,"$100,000",,,0.22,2.15,,,,,,,,,,,,,,,PicipoPICIPO,,,PKF
PKF,,IMMIMM,$0.06,0,N/A,$ 68.41K,N/A,0.11,0.82,15 Jun 2021,"$150,000",,,0.11,0.82,,,,,,,,,,,,,,,IMMIMM,,,PKF
PKF,,BullieverseBULL,N/A,N/A,N/A,N/A,N/A,,,14 Feb,"$175,000",,,,,,,,,,,,,,,,,,,BullieverseBULL,,,PKF
PKF,,MetarunMRUN,N/A,N/A,N/A,N/A,N/A,,,20 Feb,"$175,000",,,,,bsc,ath,,,,,,,,,,,,,MetarunMRUN,,,PKF
BSCPAD,,WagyuSwapWAG,$0.11,0.0581,-30%,$ 5.31M,N/A,11.36,333.76,6 Sep 2021,"$125,000",,,,,11.36,333.76,,,,,,,,,,,,,WagyuSwapWAG,,,BSCPAD
BSCPAD,1221,NFTLaunchNFTL,$0.04,0.106,-19.80%,$ 5.77M,$ 114.09K,28.48,317.89,2 Sep 2021,"$101,250",,,,,28.48,317.89,,,,,,,,,,,,,NFTLaunchNFTL,,,BSCPAD
BSCPAD,540,GameZoneGZONE,$0.11,0.0778,-30.20%,$ 47.09M,$ 258.68K,22.81,236.55,29 Sep 2021,"$112,500",,,,,22.81,236.55,,,,,,,,,,,,,GameZoneGZONE,,,BSCPAD
BSCPAD,,BitOrbitBITORB,$0.02,N/A,-17.90%,$ 1.08M,$ 2.27K,3.5,201.47,3 Nov 2021,"$129,000",,,,,3.5,201.47,,,,,,,,,,,,,BitOrbitBITORB,,,BSCPAD
BSCPAD,,CrossWalletCWT,$0.04,0.0554,-30.60%,$ 4.46M,$ 3.10K,17.94,199.76,20 Jun 2021,"$149,250",,,,,17.94,199.76,,,,,,,,,,,,,CrossWalletCWT,,,BSCPAD
BSCPAD,479,AIOZ NetworkAIOZ,$0.15,0.018,-18.10%,$ 61.12M,$ 438.68K,10.09,184.91,1 Apr 2021,"$100,000",,,,,10.09,184.91,,,,,,,,,,,,,AIOZ NetworkAIOZ,,,BSCPAD
BSCPAD,"$1,439",BSC StationBSCS,$0.08,0.0221,-18.40%,$ 3.13M,$ 352.48K,8.04,121.26,20 Apr 2021,"$80,000",,,,,8.04,121.26,,,,,,,,,,,,,BSC StationBSCS,,,BSCPAD
BSCPAD,1873,Blind BoxesBLES,$0.03,0.0654,-12.70%,$ 573.92K,$ 40.81K,0.21,80.78,25 Mar 2021,"$150,000",,,,,0.21,80.78,,,,,,,,,,,,,Blind BoxesBLES,,,BSCPAD
BSCPAD,1616,Raze NetworkRAZE,$0.03,0.079,-38.90%,$ 1.73M,$ 463.82K,0.26,59.67,9 Apr 2021,"$50,000",,,,,0.26,59.67,,,,,,,,,,,,,Raze NetworkRAZE,,,BSCPAD
